Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-1270.379	-1488.77	218.3911	1.626558	0.646637	0.353363	1.027142
6	-1268.581	-1486.856	218.275	1.487289	0.587341	0.412659	1.254939
12	-1264.929	-1483.285	218.3553	1.527539	0.569317	0.430683	1.151852
18	-1282.164	-1500.819	218.6547	1.357853	0.603559	0.396441	1.032062
24	-1275.692	-1494.067	218.3744	1.466474	0.603559	0.396441	1.188446
30	-1280.653	-1498.923	218.2707	1.412963	0.596551	0.403449	1.319308
36	-1274.542	-1492.15	217.6078	1.229914	0.638589	0.361411	1.933306
42	-1272.503	-1490.021	217.518	1.284375	0.638589	0.361411	1.957092
48	-1276.907	-1494.563	217.6558	1.146643	0.64547	0.35453	1.957092
54	-1280.469	-1497.948	217.4788	1.129275	0.551212	0.448788	2.086211
60	-1266.191	-1483.162	216.9715	0.9504752	0.573375	0.426625	2.524589
66	-1274.06	-1491.779	217.7193	1.098846	0.504749	0.495251	1.946523
72	-1267.727	-1484.838	217.1105	1.110251	0.653702	0.346298	2.336535
78	-1277.621	-1495.288	217.6677	0.9824327	0.64085	0.35915	2.058472
84	-1265.82	-1483.395	217.5751	1.075086	0.64085	0.35915	2.058472
90	-1276.543	-1494.531	217.9883	1.449489	0.650054	0.349946	1.509602
96	-1280.246	-1498.341	218.0953	1.376982	0.660434	0.339566	1.483665
102	-1267.045	-1484.472	217.4273	1.3207	0.660434	0.339566	1.99349
108	-1275.252	-1492.99	217.7375	1.323249	0.582262	0.417738	1.780681
114	-1281.693	-1499.342	217.6485	1.195021	0.582262	0.417738	1.929374
120	-1274.613	-1492.794	218.1812	1.266804	0.585763	0.414237	1.501945
126	-1267.041	-1484.836	217.7946	1.230701	0.60757	0.39243	1.805278
132	-1280.068	-1496.94	216.8718	1.135974	0.637797	0.362203	2.470971
138	-1279.621	-1496.541	216.9201	1.087684	0.637797	0.362203	2.470971
144	-1270.749	-1487.436	216.6879	1.016572	0.658482	0.341518	2.659396
150	-1278.424	-1494.899	216.475	1.021393	0.658482	0.341518	2.786819
156	-1266.085	-1483.041	216.9563	1.136785	0.647739	0.352261	2.41733
162	-1269.88	-1486.787	216.9068	1.046721	0.622702	0.377298	2.504957
168	-1260.258	-1478.27	218.012	1.346199	0.57636	0.42364	1.568503
174	-1267.421	-1485.465	218.0442	1.290655	0.751415	0.248585	1.585602
180	-1275.268	-1491.892	216.6242	0.8962803	0.618762	0.381238	2.772112
186	-1281.006	-1498.204	217.1981	1.059091	0.665642	0.334358	2.313307
192	-1286.157	-1503.703	217.5462	1.174052	0.679661	0.320339	2.012027
198	-1286.358	-1502.982	216.624	0.9034831	0.641908	0.358092	2.767847
204	-1280.722	-1498.336	217.6136	1.046165	0.712885	0.287115	2.052085
210	-1274.104	-1491.467	217.3632	1.296618	0.584935	0.415065	2.052085
216	-1272.86	-1490.852	217.9924	1.346122	0.589753	0.410247	1.582914
222	-1269.099	-1487.338	218.2394	1.369245	0.588022	0.411978	1.378911
228	-1277.265	-1495.71	218.4454	1.507018	0.538101	0.461899	1.088999
234	-1290.629	-1509.196	218.5676	1.632573	0.722501	0.277499	0.8283151
240	-1276.232	-1494.609	218.3772	1.454891	0.572304	0.427696	1.195976
246	-1275.632	-1493.551	217.9193	1.377568	0.572304	0.427696	1.613237
252	-1274.522	-1492.732	218.21	1.436249	0.590287	0.409713	1.349176
258	-1264.696	-1483.013	218.317	1.454266	0.626587	0.373413	1.247464
264	-1263.778	-1480.902	217.1243	1.253898	0.626587	0.373413	2.23577
270	-1275.945	-1492.722	216.7772	1.127109	0.626587	0.373413	2.535633
276	-1275.516	-1492.788	217.2718	1.184654	0.613598	0.386402	2.185179
282	-1271.482	-1488.883	217.401	1.121731	0.648566	0.351434	2.142075
288	-1270.862	-1487.684	216.8214	1.213074	0.739838	0.260162	2.454216
294	-1270.213	-1488.439	218.2257	1.618954	0.659161	0.340839	1.185168
300	-1269.904	-1487.912	218.0085	1.381191	0.659161	0.340839	1.54532
306	-1264.862	-1482.359	217.497	1.337016	0.657351	0.342649	1.935788
312	-1274.207	-1491.691	217.4842	1.297936	0.58662	0.41338	1.970707
318	-1275.94	-1493.974	218.0337	1.54073	0.655942	0.344058	1.405553
324	-1276.287	-1494.527	218.24	1.540919	0.663993	0.336007	1.239451
330	-1269.766	-1488.186	218.4202	1.510369	0.606418	0.393582	1.109003
336	-1275.445	-1493.659	218.2138	1.483469	0.606418	0.393582	1.308245
