Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
468	-1266.791	-1482.777	215.9856	0.9832752	0.984463	0.0155371	3.104573
474	-1253.414	-1468.135	214.721	0.835003	0.988546	0.0114543	3.92874
480	-1258.698	-1475.641	216.9436	1.01785	0.99797	0.00203019	2.499978
486	-1255.423	-1472.349	216.9254	1.036075	0.99701	0.00298955	2.499978
492	-1258.411	-1473.788	215.3771	0.7580264	0.99701	0.00298955	3.594704
498	-1250.562	-1465.808	215.2456	0.9552728	0.995009	0.00499067	3.556487
504	-1251.182	-1466.811	215.6288	0.9034908	0.991483	0.00851728	3.362783
510	-1248.236	-1462.727	214.4911	0.675353	0.993602	0.00639817	4.150991
516	-1252.497	-1466.907	214.4101	0.6712138	0.993199	0.00680095	4.199361
522	-1252.018	-1467.009	214.991	0.6910138	0.993199	0.00680095	3.85643
528	-1252.736	-1467.355	214.6183	0.9228931	0.998197	0.00180255	3.937218
534	-1257.74	-1473.216	215.4756	0.9582274	0.99898	0.00101952	3.420536
540	-1257.282	-1473.446	216.1646	1.067284	0.999518	0.000482226	2.947004
546	-1261.84	-1478.726	216.8853	1.232526	0.999448	0.000551504	2.40175
552	-1259.708	-1477.024	217.3153	1.215633	0.998977	0.00102277	2.136765
558	-1259.99	-1477.596	217.6062	1.204006	0.998983	0.00101654	1.951828
564	-1258.908	-1475.889	216.9808	1.129727	0.992935	0.00706476	2.406384
570	-1267.752	-1485.152	217.4	1.169357	0.994273	0.00572694	2.111593
576	-1265.88	-1483.309	217.4285	1.258299	0.994273	0.00572694	2.034197
582	-1277.948	-1495.159	217.2113	1.180065	0.991103	0.00889748	2.227252
588	-1271.909	-1489.27	217.3619	1.160945	0.99617	0.00382983	2.142037
594	-1258.273	-1475.401	217.1278	1.201169	0.995823	0.00417656	2.267364
600	-1271.016	-1487.572	216.5559	1.128319	0.995823	0.00417656	2.671859
606	-1265.366	-1481.697	216.3301	1.136532	0.997233	0.00276705	2.804922
612	-1261.355	-1478.022	216.6667	1.125796	0.997448	0.00255199	2.605057
618	-1259.847	-1477.022	217.1741	1.138416	0.997879	0.0021214	2.277936
624	-1244.091	-1461.343	217.2524	1.217788	0.996219	0.00378122	2.176263
630	-1252.468	-1468.705	216.237	1.066006	0.997719	0.00228057	2.904136
636	-1250.142	-1467.152	217.0098	1.346742	0.999114	0.000885851	2.249705
642	-1257.514	-1474.644	217.1298	1.226728	0.998897	0.00110277	2.249705
648	-1259.587	-1475.756	216.1683	0.9793048	0.997855	0.00214478	2.997649
654	-1260.051	-1477.212	217.1609	1.110316	0.997943	0.00205713	2.304346
660	-1277.339	-1494.078	216.7392	1.110316	0.999118	0.000881582	2.569698
666	-1257.992	-1474.109	216.1169	0.9653498	0.997654	0.00234619	3.036844
672	-1261.381	-1477.528	216.1471	0.9232441	0.996872	0.00312778	3.043955
678	-1258.86	-1474.707	215.8473	0.929068	0.981437	0.0185627	3.218876
684	-1257.368	-1473.857	216.4893	1.05793	0.981437	0.0185627	2.755806
690	-1271.066	-1488.366	217.2992	1.008765	0.991312	0.0086882	2.280867
696	-1261.329	-1478.812	217.4836	1.260329	0.991312	0.0086882	1.996201
702	-1273.962	-1491.207	217.245	1.098959	0.973824	0.0261764	2.257755
708	-1270.214	-1488.052	217.8383	1.318029	0.982463	0.0175372	1.713752
714	-1284.786	-1502.354	217.5681	1.381298	0.942259	0.0577413	1.857485
720	-1251.158	-1468.717	217.5586	1.430539	0.969175	0.0308251	1.830211
726	-1251.431	-1469.507	218.0763	1.340961	0.986767	0.0132333	1.524869
732	-1254.558	-1472.699	218.1412	1.186753	0.968705	0.0312955	1.590677
738	-1256.027	-1473.609	217.5824	1.181257	0.980185	0.0198153	1.983065
744	-1252.752	-1470.321	217.5681	1.195488	0.993694	0.00630626	1.983065
750	-1247.637	-1464.733	217.0965	1.2033	0.995433	0.00456739	2.286086
756	-1248.729	-1466.003	217.2743	1.220231	0.996635	0.00336469	2.160432
762	-1239.815	-1456.941	217.1263	1.173894	0.996635	0.00336469	2.285829
768	-1256.637	-1474.179	217.542	1.241399	0.996918	0.00308191	1.969835
774	-1270.681	-1488.188	217.5067	1.276684	0.9975	0.00250002	1.969835
780	-1266.91	-1484.416	217.5053	1.511366	0.997688	0.0023122	1.811233
786	-1254.36	-1472.114	217.7537	1.364507	0.996097	0.00390306	1.740529
792	-1252.996	-1470.512	217.5154	1.249695	0.995535	0.00446458	1.98209
798	-1251.482	-1468.726	217.244	1.378823	0.99267	0.0073302	2.076483
804	-1258.974	-1476.493	217.5197	1.342793	0.996813	0.00318694	1.916563
810	-1256.071	-1473.6	217.529	1.250222	0.995156	0.00484383	1.972631
816	-1255.8	-1472.794	216.994	1.272351	0.991193	0.00880661	2.30743
822	-1242.564	-1459.576	217.0127	1.253709	0.986965	0.0130355	2.30743
828	-1245.935	-1463.04	217.1051	1.161271	0.992445	0.00755454	2.30743
834	-1251.181	-1466.075	214.894	0.8573472	0.996751	0.00324859	3.816574
840	-1259.592	-1475.421	215.8291	0.8427522	0.994867	0.00513344	3.280669
846	-1249.006	-1464.749	215.743	0.740325	0.997776	0.00222392	3.39157
852	-1255.726	-1471.156	215.4306	0.7974468	0.998534	0.00146556	3.540721
858	-1256.935	-1472.518	215.5829	0.9184653	0.991	0.00899964	3.380985
864	-1270.904	-1486.644	215.7403	0.8807528	0.994881	0.0051193	3.310593
870	-1272.985	-1490.028	217.0434	0.9668328	0.99365	0.00635016	2.469423
876	-1273.269	-1489.773	216.5038	0.9839952	0.99365	0.00635016	2.792078
882	-1278.69	-1492.88	214.1901	0.805926	0.949577	0.0504226	4.247764
888	-1277.255	-1492.51	215.2551	0.9060216	0.955	0.0449996	3.579605
894	-1264.653	-1479.948	215.2948	0.9533955	0.952835	0.0471652	3.528958
900	-1264.998	-1480.85	215.8518	1.033995	0.932219	0.0677814	3.153972
906	-1253.416	-1470.549	217.133	1.152583	0.995933	0.00406656	2.29518
912	-1258.999	-1476.204	217.2044	1.113804	0.995683	0.00431746	2.274285
918	-1259.04	-1476.403	217.3623	1.174463	0.994962	0.00503839	2.132928
924	-1264.011	-1479.968	215.9561	1.067254	0.997755	0.00224501	3.072065
930	-1265.599	-1481.273	215.6745	0.9113052	0.999166	0.000833733	3.331329
936	-1267.873	-1484.393	216.5199	0.9113052	0.998408	0.00159246	2.826497
942	-1257.867	-1473.011	215.1444	0.8487603	0.99925	0.000750008	3.677046
